transaction_id,account_id,email,amount,department_code
TXN-100076,ACC-38657,user_15@example.com,368.8,MKT
TXN-100077,ACC-70217,user_25@example.com,19.23,MKT
TXN-100078,ACC-54118,user_28@example.com,110.97,HR
TXN-100079,ACC-68878,user_25@example.com,30.79,IT
TXN-100080,ACC-54118,user_23@example.com,497.13,IT
TXN-100081,ACC-64987,user_5@example.com,244.08,OPS
TXN-100082,ACC-95181,user_21@example.com,100.45,HR
TXN-100083,ACC-13905,user_2@example.com,16.42,HR
TXN-100084,ACC-98696,user_9@example.com,93.12,HR
TXN-100085,ACC-65392,user_16@example.com,98.33,HR
TXN-100086,ACC-30926,user_21@example.com,326.97,IT
TXN-100087,ACC-39256,user_20@example.com,253.72,IT
TXN-100088,ACC-80284,user_19@example.com,545.56,HR
TXN-100089,ACC-46048,user_10@example.com,159.77,OPS
TXN-100090,ACC-23434,user_2@example.com,31.84,FIN
TXN-100091,ACC-81482,user_26@example.com,312.28,FIN
TXN-100092,ACC-59797,user_24@example.com,357.6,OPS
TXN-100093,ACC-21395,user_7@example.com,205.97,HR
TXN-100094,ACC-55082,user_21@example.com,368.47,IT
TXN-100095,ACC-68878,user_9@example.com,170.2,FIN
TXN-100096,ACC-23396,user_7@example.com,184.92,MKT
TXN-100097,ACC-42098,user_25@example.com,139.45,MKT
TXN-100098,ACC-81426,user_6@example.com,6.44,OPS
TXN-100099,ACC-81426,user_4@example.com,28.54,HR
TXN-100100,ACC-23396,user_0@example.com,7.98,FIN
TXN-100101,ACC-46463,user_1@example.com,252.93,HR
TXN-100102,ACC-54597,user_7@example.com,94.35,FIN
TXN-100103,ACC-38657,user_15@example.com,177.61,OPS
TXN-100104,ACC-30379,user_19@example.com,595.32,OPS
TXN-100105,ACC-93810,user_27@example.com,71.68,MKT
TXN-100106,ACC-55082,user_24@example.com,132.07,HR
TXN-100107,ACC-15695,user_2@example.com,352.19,MKT
TXN-100108,ACC-23434,user_14@example.com,64.95,HR
TXN-100109,ACC-55082,user_13@example.com,20.03,MKT
TXN-100110,ACC-46421,user_28@example.com,85.54,IT
TXN-100111,ACC-80284,user_20@example.com,43.95,IT
TXN-100112,ACC-40495,user_18@example.com,663.74,IT
TXN-100113,ACC-26361,user_6@example.com,412.72,IT
TXN-100114,ACC-22676,user_22@example.com,250.87,FIN
TXN-100115,ACC-83563,user_22@example.com,512.88,IT
TXN-100116,ACC-23434,user_12@example.com,406.99,OPS
TXN-100117,ACC-76237,user_15@example.com,51.62,OPS
TXN-100118,ACC-68878,user_12@example.com,557.7,FIN
TXN-100119,ACC-21395,user_7@example.com,193.77,IT
TXN-100120,ACC-46463,user_4@example.com,411.84,IT
TXN-100121,ACC-93810,user_20@example.com,566.06,IT
TXN-100122,ACC-15695,user_22@example.com,95.68,MKT
TXN-100123,ACC-15695,user_0@example.com,29.15,HR
TXN-100124,ACC-38657,user_28@example.com,64.67,MKT
TXN-100125,ACC-65392,user_24@example.com,139.26,HR
TXN-100126,ACC-80284,user_27@example.com,425.96,IT
TXN-100127,ACC-87397,user_24@example.com,492.84,IT
TXN-100128,ACC-65392,user_28@example.com,1.74,MKT
TXN-100129,ACC-28289,user_3@example.com,178.72,MKT
TXN-100130,ACC-59797,user_24@example.com,135.07,HR
TXN-100131,ACC-88907,user_13@example.com,62.79,OPS
TXN-100132,ACC-59797,user_7@example.com,31.92,HR
TXN-100133,ACC-65392,user_5@example.com,102.98,MKT
TXN-100134,ACC-23396,user_25@example.com,715.78,MKT
TXN-100135,ACC-65302,user_22@example.com,97.6,FIN
TXN-100136,ACC-81482,user_16@example.com,182.86,MKT
TXN-100137,ACC-95181,user_14@example.com,303.52,FIN
TXN-100138,ACC-80284,user_1@example.com,112.99,OPS
TXN-100139,ACC-21395,user_17@example.com,891.95,HR
TXN-100140,ACC-46421,user_7@example.com,820.5,HR
TXN-100141,ACC-26361,user_29@example.com,72.52,FIN
TXN-100142,ACC-54597,user_27@example.com,171.91,HR
TXN-100143,ACC-93810,user_3@example.com,89.48,MKT
TXN-100144,ACC-23396,user_14@example.com,83.81,IT
TXN-100145,ACC-13478,user_4@example.com,9.4,FIN
TXN-100146,ACC-30926,user_25@example.com,235.12,HR
TXN-100147,ACC-24592,user_14@example.com,174.63,FIN
TXN-100148,ACC-23434,user_21@example.com,13.21,FIN
TXN-100149,ACC-95181,user_16@example.com,81.66,IT
TXN-100150,ACC-88907,user_17@example.com,120000.0,MKT
TXN-100151,ACC-22280,user_19@example.com,68.47,FIN
TXN-100152,ACC-46048,user_10@example.com,39.13,HR
TXN-100153,ACC-22280,user_24@example.com,168.07,OPS
TXN-100154,ACC-38221,user_28@example.com,1061.01,FIN
TXN-100155,ACC-39256,user_14@example.com,69.29,FIN
TXN-100156,ACC-39256,user_19@example.com,278.79,IT
TXN-100157,ACC-15695,user_26@example.com,358.47,MKT
TXN-100158,ACC-30926,user_23@example.com,67.83,OPS
TXN-100159,ACC-42098,user_28@example.com,325.69,HR
TXN-100160,ACC-80284,user_16@example.com,114.63,OPS
TXN-100161,ACC-46421,user_13@example.com,250.13,HR
TXN-100162,ACC-26361,user_26@example.com,250.96,MKT
TXN-100163,ACC-98696,user_29@example.com,191.85,HR
TXN-100164,ACC-98696,user_17@example.com,23.66,IT
TXN-100165,ACC-57052,user_14@example.com,450.91,IT
TXN-100166,ACC-10851,user_28@example.com,96.7,IT
TXN-100167,ACC-30379,user_5@example.com,51.61,IT
TXN-100168,ACC-21395,user_23@example.com,10.41,OPS
TXN-100169,ACC-38657,user_27@example.com,223.44,MKT
TXN-100170,ACC-54597,user_15@example.com,282.96,HR
TXN-100171,ACC-23396,user_14@example.com,4.18,HR
TXN-100172,ACC-68878,user_8@example.com,179.41,IT
TXN-100173,ACC-14165,user_24@example.com,64.21,IT
TXN-100174,ACC-46421,user_7@example.com,259.03,FIN
TXN-100175,ACC-80284,user_26@example.com,47.9,MKT
TXN-100176,ACC-15695,user_20@example.com,293.55,OPS
TXN-100177,ACC-89131,user_8@example.com,122.24,HR
TXN-100178,ACC-65302,user_24@example.com,690.09,FIN
TXN-100179,ACC-44671,user_24@example.com,36.99,FIN
TXN-100180,ACC-88907,user_16@example.com,104.28,HR
TXN-100181,ACC-64987,user_15@example.com,30.11,OPS
TXN-100182,ACC-57052,user_20@example.com,646.55,FIN
TXN-100183,ACC-22676,user_7@example.com,524.58,FIN
TXN-100184,ACC-95181,user_8@example.com,74.58,MKT
TXN-100185,ACC-87236,user_14@example.com,269.69,OPS
TXN-100186,ACC-54597,user_2@example.com,424.87,FIN
TXN-100187,ACC-87236,user_22@example.com,202.53,OPS
TXN-100188,ACC-23434,user_9@example.com,188.57,HR
TXN-100189,ACC-22280,user_7@example.com,69.22,IT
TXN-100190,ACC-13905,user_8@example.com,24.43,FIN
TXN-100191,ACC-42098,user_10@example.com,568.78,MKT
TXN-100192,ACC-83563,user_10@example.com,576.69,HR
TXN-100193,ACC-24592,user_28@example.com,250.67,OPS
TXN-100194,ACC-54118,user_17@example.com,103.51,HR
TXN-100195,ACC-30379,user_2@example.com,107.39,FIN
TXN-100196,ACC-13905,user_4@example.com,323.62,OPS
TXN-100197,ACC-54118,user_4@example.com,568.52,IT
TXN-100198,ACC-13905,user_7@example.com,545.28,HR
TXN-100199,ACC-93810,user_12@example.com,378.39,FIN
TXN-100200,ACC-42098,user_22@example.com,256.83,MKT
TXN-100201,ACC-44671,user_4@example.com,21.97,OPS
TXN-100202,ACC-59797,user_22@example.com,44.07,HR
TXN-100203,ACC-46048,user_6@example.com,572.06,HR
TXN-100204,ACC-13905,user_2@example.com,233.12,IT
TXN-100205,ACC-42098,user_13@example.com,2.31,IT
TXN-100206,ACC-13278,user_13@example.com,26.75,MKT
TXN-100207,ACC-83563,user_10@example.com,272.29,MKT
TXN-100208,ACC-42098,user_17@example.com,1.27,FIN
TXN-100209,ACC-65392,user_14@example.com,43.83,FIN
TXN-100210,ACC-22280,user_13@example.com,198.92,MKT
TXN-100211,ACC-40495,user_1@example.com,294.33,MKT
TXN-100212,ACC-57052,user_6@example.com,263.86,OPS
TXN-100213,ACC-30926,user_26@example.com,63.49,IT
TXN-100214,ACC-14165,user_13@example.com,311.35,FIN
TXN-100215,ACC-46421,user_12@example.com,67.71,IT
TXN-100216,ACC-98696,user_28@example.com,98.41,IT
TXN-100217,ACC-15695,user_24@example.com,343.09,MKT
TXN-100218,ACC-38221,user_18@example.com,262.19,OPS
TXN-100219,ACC-38221,user_22@example.com,472.99,HR
TXN-100220,ACC-10851,user_0@example.com,267.95,OPS
TXN-100221,ACC-22280,user_27@example.com,210.01,OPS
TXN-100222,ACC-10851,user_28@example.com,24.59,IT
TXN-100223,ACC-38893,user_24@example.com,114.6,OPS
TXN-100224,ACC-65302,user_18@example.com,77.04,FIN
TXN-100225,ACC-28289,user_12@example.com,69.93,IT
TXN-100226,ACC-28289,user_15@example.com,903.08,FIN
TXN-100227,ACC-57052,user_0@example.com,124.85,HR
TXN-100228,ACC-68878,user_11@example.com,556.51,IT
TXN-100229,ACC-36062,user_9@example.com,249.33,HR
TXN-100230,ACC-68878,user_24@example.com,395.96,IT
TXN-100231,ACC-38893,user_12@example.com,174.61,MKT
TXN-100232,ACC-46463,user_27@example.com,215.04,OPS
TXN-100233,ACC-15695,user_28@example.com,169.57,MKT
TXN-100234,ACC-46048,user_26@example.com,54.3,HR
TXN-100235,ACC-55082,user_13@example.com,320.44,OPS
TXN-100236,ACC-22676,user_17@example.com,82.39,IT
TXN-100237,ACC-22676,user_23@example.com,6.15,OPS
TXN-100238,ACC-28289,user_23@example.com,259.24,FIN
TXN-100239,ACC-46048,user_17@example.com,48.73,OPS
TXN-100240,ACC-64987,user_25@example.com,705.27,FIN
TXN-100241,ACC-15695,user_19@example.com,769.39,OPS
TXN-100242,ACC-83563,user_28@example.com,615.88,FIN
TXN-100243,ACC-28289,user_7@example.com,115.57,HR
TXN-100244,ACC-22280,user_15@example.com,3.89,MKT
TXN-100245,ACC-65302,user_7@example.com,658.88,IT
TXN-100246,ACC-65302,user_8@example.com,139.73,OPS
TXN-100247,ACC-46421,user_13@example.com,850.21,MKT
TXN-100248,ACC-87236,user_15@example.com,828.43,IT
TXN-100249,ACC-98696,user_0@example.com,479.35,IT
TXN-100250,ACC-68878,user_12@example.com,87.19,FIN
TXN-100251,ACC-87397,user_10@example.com,121.57,HR
TXN-100252,ACC-40495,user_21@example.com,476.18,HR
TXN-100253,ACC-46463,user_21@example.com,95.29,MKT
TXN-100254,ACC-22280,user_25@example.com,46.43,HR
TXN-100255,ACC-42098,user_12@example.com,203.43,OPS
TXN-100256,ACC-87236,user_23@example.com,687.82,HR
TXN-100257,ACC-30379,user_5@example.com,297.71,MKT
TXN-100258,ACC-28289,user_26@example.com,211.03,HR
TXN-100259,ACC-46048,user_14@example.com,25.56,OPS
TXN-100260,ACC-22676,user_29@example.com,238.63,FIN
TXN-100261,ACC-46421,user_4@example.com,1152.64,MKT
TXN-100262,ACC-93810,user_19@example.com,37.73,FIN
TXN-100263,ACC-39256,user_17@example.com,182.62,FIN
TXN-100264,ACC-80284,user_0@example.com,524.65,FIN
TXN-100265,ACC-22280,user_29@example.com,337.51,IT
TXN-100266,ACC-21395,user_12@example.com,298.52,IT
TXN-100267,ACC-38893,user_18@example.com,303.07,FIN
TXN-100268,ACC-30926,user_18@example.com,111.37,MKT
TXN-100269,ACC-10851,user_21@example.com,86.89,OPS
TXN-100270,ACC-14165,user_0@example.com,414.34,OPS
TXN-100271,ACC-64987,user_2@example.com,415.33,HR
TXN-100272,ACC-46048,user_20@example.com,504.49,MKT
TXN-100273,ACC-21395,user_13@example.com,611.15,IT
TXN-100274,ACC-81426,user_4@example.com,179.02,FIN
TXN-100275,ACC-93810,user_27@example.com,174.05,HR
TXN-100276,ACC-81426,user_14@example.com,400.24,OPS
TXN-100277,ACC-38657,user_5@example.com,262.43,IT
TXN-100278,ACC-46463,user_1@example.com,302.64,IT
TXN-100279,ACC-76237,user_8@example.com,397.15,FIN
TXN-100280,ACC-68878,user_12@example.com,551.83,OPS
TXN-100281,ACC-89131,user_10@example.com,103.12,MKT
TXN-100282,ACC-15695,user_6@example.com,117.73,IT
TXN-100283,ACC-30379,user_14@example.com,24.67,FIN
TXN-100284,ACC-57052,user_10@example.com,215.85,MKT
TXN-100285,ACC-44671,user_10@example.com,9.15,OPS
TXN-100286,ACC-30926,user_24@example.com,156.65,IT
TXN-100287,ACC-81482,user_28@example.com,195.57,MKT
TXN-100288,ACC-65302,user_12@example.com,84.41,MKT
TXN-100289,ACC-76237,user_8@example.com,223.41,MKT
TXN-100290,ACC-14165,user_24@example.com,7.74,IT
TXN-100291,ACC-46048,user_26@example.com,9.52,IT
TXN-100292,ACC-54118,user_13@example.com,432.34,HR
TXN-100293,ACC-70217,user_8@example.com,111.65,OPS
TXN-100294,ACC-46421,user_26@example.com,33.97,FIN
TXN-100295,ACC-46048,user_2@example.com,184.66,MKT
TXN-100296,ACC-70217,user_15@example.com,367.41,HR
TXN-100297,ACC-13478,user_0@example.com,60.78,FIN
TXN-100298,ACC-46048,user_23@example.com,243.8,HR
TXN-100299,ACC-46048,user_17@example.com,22.3,IT
TXN-100300,ACC-54118,user_1@example.com,13.27,MKT
TXN-100301,ACC-10851,user_11@example.com,189.48,FIN
TXN-100302,ACC-65392,user_7@example.com,194.48,FIN
TXN-100303,ACC-54597,user_20@example.com,253.63,FIN
TXN-100304,ACC-21395,user_2@example.com,323.74,FIN
TXN-100305,ACC-46048,user_24@example.com,930.89,FIN
TXN-100306,ACC-65392,user_20@example.com,181.57,HR
TXN-100307,ACC-39256,user_1@example.com,97.5,MKT
TXN-100308,ACC-87397,user_24@example.com,396.41,IT
TXN-100309,ACC-42098,user_0@example.com,78.96,IT
TXN-100310,ACC-23396,user_7@example.com,144.5,IT
TXN-100311,ACC-42098,user_6@example.com,20.43,IT
TXN-100312,ACC-55082,user_26@example.com,6.42,HR
TXN-100313,ACC-22280,user_0@example.com,821.84,OPS
TXN-100314,ACC-64987,user_19@example.com,451.94,MKT
TXN-100315,ACC-23434,user_4@example.com,297.66,FIN
TXN-100316,ACC-38221,user_7@example.com,131.46,OPS
TXN-100317,ACC-22280,user_4@example.com,47.58,IT
TXN-100318,ACC-54118,user_15@example.com,42.53,OPS
TXN-100319,ACC-23396,user_21@example.com,72.0,MKT
TXN-100320,ACC-13278,user_3@example.com,199.2,FIN
TXN-100321,ACC-22156,user_18@example.com,313.46,FIN
TXN-100322,ACC-39256,user_6@example.com,269.85,MKT
TXN-100323,ACC-38893,user_14@example.com,82.1,MKT
TXN-100324,ACC-57052,user_22@example.com,774.53,IT
TXN-100325,ACC-54118,user_8@example.com,334.75,FIN
TXN-100326,ACC-38221,user_24@example.com,202.06,OPS
TXN-100327,ACC-54597,user_11@example.com,236.51,HR
TXN-100328,ACC-13478,user_5@example.com,136.01,HR
TXN-100329,ACC-38657,user_19@example.com,71.17,MKT
TXN-100330,ACC-14165,user_19@example.com,110.0,IT
TXN-100331,ACC-57052,user_23@example.com,354.55,HR
TXN-100332,ACC-44671,user_22@example.com,3.62,FIN
TXN-100333,ACC-13478,user_3@example.com,30.85,MKT
TXN-100334,ACC-22280,user_24@example.com,11.77,OPS
TXN-100335,ACC-38657,user_26@example.com,10.4,MKT
TXN-100336,ACC-64987,user_5@example.com,483.55,OPS
TXN-100337,ACC-98696,user_9@example.com,304.06,MKT
TXN-100338,ACC-57052,user_3@example.com,160.7,MKT
TXN-100339,ACC-22676,user_18@example.com,25.74,MKT
TXN-100340,ACC-88907,user_0@example.com,169.13,OPS
TXN-100341,ACC-46463,user_29@example.com,160.36,OPS
TXN-100342,ACC-13478,user_9@example.com,47.55,MKT
TXN-100343,ACC-80284,user_18@example.com,142.22,HR
TXN-100344,ACC-42098,user_21@example.com,127.08,IT
TXN-100345,ACC-93810,user_29@example.com,239.18,IT
TXN-100346,ACC-46463,user_12@example.com,252.03,IT
TXN-100347,ACC-22156,user_12@example.com,11.59,OPS
TXN-100348,ACC-38221,user_22@example.com,117.35,OPS
TXN-100349,ACC-28289,user_6@example.com,245.78,HR
TXN-100350,ACC-42098,user_2@example.com,174.86,IT
TXN-100351,ACC-46421,user_18@example.com,485.34,IT
TXN-100352,ACC-14165,user_22@example.com,268.74,MKT
TXN-100353,ACC-65392,user_26@example.com,44.46,OPS
TXN-100354,ACC-38657,user_20@example.com,18.3,IT
TXN-100355,ACC-98696,user_7@example.com,257.1,HR
TXN-100356,ACC-36062,user_3@example.com,6.72,HR
TXN-100357,ACC-42098,user_22@example.com,220.34,IT
TXN-100358,ACC-22280,user_24@example.com,704.31,OPS
TXN-100359,ACC-95181,user_9@example.com,214.2,HR
TXN-100360,ACC-76237,user_27@example.com,122.83,MKT
TXN-100361,ACC-21395,user_21@example.com,257.71,HR
TXN-100362,ACC-87236,user_19@example.com,153.24,FIN
TXN-100363,ACC-46421,user_25@example.com,197.2,FIN
TXN-100364,ACC-44671,user_3@example.com,709.53,OPS
TXN-100365,ACC-88907,user_25@example.com,121.98,IT
TXN-100366,ACC-22156,user_18@example.com,812.27,OPS
TXN-100367,ACC-22676,user_25@example.com,589.39,OPS
TXN-100368,ACC-54597,user_1@example.com,54.47,OPS
TXN-100369,ACC-93810,user_11@example.com,17.97,OPS
TXN-100370,ACC-57052,user_17@example.com,26.56,MKT
TXN-100371,ACC-30379,user_13@example.com,4.6,MKT
TXN-100372,ACC-88907,user_21@example.com,24.8,HR
TXN-100373,ACC-57052,user_11@example.com,287.22,FIN
TXN-100374,ACC-28289,user_2@example.com,18.46,OPS
TXN-100375,ACC-98696,user_16@example.com,96.04,HR
TXN-100376,ACC-38657,user_20@example.com,465.88,FIN
TXN-100377,ACC-23434,user_10@example.com,5.89,IT
TXN-100378,ACC-28289,user_0@example.com,421.13,MKT
TXN-100379,ACC-70217,user_27@example.com,82.77,FIN
TXN-100380,ACC-30379,user_13@example.com,31.44,IT
TXN-100381,ACC-81482,user_26@example.com,298.29,FIN
TXN-100382,ACC-40495,user_15@example.com,247.85,MKT
TXN-100383,ACC-76237,user_3@example.com,524.85,MKT
TXN-100384,ACC-23396,user_13@example.com,332.07,HR
TXN-100385,ACC-14165,user_11@example.com,406.75,OPS
TXN-100386,ACC-44671,user_20@example.com,82.83,FIN
TXN-100387,ACC-83563,user_28@example.com,48.83,FIN
TXN-100388,ACC-14165,user_26@example.com,347.19,IT
TXN-100389,ACC-55082,user_14@example.com,411.05,MKT
TXN-100390,ACC-59797,user_22@example.com,1164.25,FIN
TXN-100391,ACC-38657,user_4@example.com,133.02,MKT
TXN-100392,ACC-65392,user_13@example.com,116.31,FIN
TXN-100393,ACC-30926,user_5@example.com,374.49,HR
TXN-100394,ACC-38657,user_23@example.com,104.18,OPS
TXN-100395,ACC-46048,user_16@example.com,667.53,FIN
TXN-100396,ACC-39256,user_20@example.com,488.71,MKT
TXN-100397,ACC-59797,user_8@example.com,140.09,HR
TXN-100398,ACC-68878,user_19@example.com,347.45,FIN
TXN-100399,ACC-40495,user_25@example.com,351.16,IT
TXN-100400,ACC-13278,user_29@example.com,27.21,OPS
TXN-100401,ACC-93810,user_17@example.com,582.11,FIN
TXN-100402,ACC-83563,user_24@example.com,175.93,HR
TXN-100403,ACC-26361,user_15@example.com,437.83,IT
TXN-100404,ACC-98696,user_14@example.com,96.43,HR
TXN-100405,ACC-59797,user_13@example.com,564.7,HR
TXN-100406,ACC-38657,user_26@example.com,123.25,IT
TXN-100407,ACC-21395,user_23@example.com,2.72,HR
TXN-100408,ACC-70217,user_18@example.com,589.48,IT
TXN-100409,ACC-87236,user_8@example.com,23.93,FIN
TXN-100410,ACC-30379,user_10@example.com,96.16,IT
TXN-100411,ACC-44671,user_27@example.com,749.24,IT
TXN-100412,ACC-68878,user_7@example.com,751.99,OPS
TXN-100413,ACC-30379,user_26@example.com,213.0,IT
TXN-100414,ACC-93810,user_29@example.com,249.81,IT
TXN-100415,ACC-23434,user_2@example.com,148.75,FIN
TXN-100416,ACC-42098,user_8@example.com,86.76,OPS
TXN-100417,ACC-89131,user_28@example.com,99.62,MKT
TXN-100418,ACC-81482,user_14@example.com,279.08,FIN
TXN-100419,ACC-46421,user_7@example.com,348.96,FIN
TXN-100420,ACC-13278,user_24@example.com,392.05,MKT
TXN-100421,ACC-95181,user_14@example.com,389.71,IT
TXN-100422,ACC-54118,user_18@example.com,23.91,HR
TXN-100423,ACC-30379,user_19@example.com,170.51,OPS
TXN-100424,ACC-81482,user_21@example.com,14.82,HR
TXN-100425,ACC-68878,user_12@example.com,199.37,MKT
TXN-100426,ACC-98696,user_10@example.com,145.64,FIN
TXN-100427,ACC-13278,user_0@example.com,546.65,FIN
TXN-100428,ACC-88907,user_15@example.com,108.05,OPS
TXN-100429,ACC-95181,user_27@example.com,31.13,FIN
TXN-100430,ACC-13278,user_10@example.com,38.58,FIN
TXN-100431,ACC-36062,user_5@example.com,358.36,OPS
TXN-100432,ACC-14165,user_15@example.com,240.73,OPS
TXN-100433,ACC-55082,user_6@example.com,26.65,MKT
TXN-100434,ACC-22280,user_11@example.com,21.96,FIN
TXN-100435,ACC-57052,user_25@example.com,301.8,FIN
TXN-100436,ACC-28289,user_8@example.com,18.89,MKT
TXN-100437,ACC-36062,user_10@example.com,431.3,IT
TXN-100438,ACC-26361,user_8@example.com,306.25,IT
TXN-100439,ACC-30379,user_28@example.com,21.21,IT
TXN-100440,ACC-38893,user_19@example.com,22.16,MKT
TXN-100441,ACC-22156,user_22@example.com,1078.86,FIN
TXN-100442,ACC-70217,user_28@example.com,117.21,MKT
TXN-100443,ACC-81482,user_8@example.com,115.76,MKT
TXN-100444,ACC-22280,user_17@example.com,418.89,IT
TXN-100445,ACC-21395,user_0@example.com,735.54,HR
TXN-100446,ACC-87397,user_16@example.com,1067.19,FIN
TXN-100447,ACC-38893,user_6@example.com,349.97,IT
TXN-100448,ACC-24592,user_2@example.com,118.01,HR
TXN-100449,ACC-87397,user_7@example.com,21.8,HR
TXN-100450,ACC-70217,user_23@example.com,375.31,OPS
TXN-100451,ACC-83563,user_13@example.com,204.34,FIN
TXN-100452,ACC-38893,user_15@example.com,138.01,HR
TXN-100453,ACC-57052,user_17@example.com,592.06,IT
TXN-100454,ACC-70217,user_24@example.com,29.47,OPS
TXN-100455,ACC-22280,user_7@example.com,169.63,FIN
TXN-100456,ACC-40495,user_22@example.com,2.85,MKT
TXN-100457,ACC-21395,user_15@example.com,158.09,IT
TXN-100458,ACC-89131,user_20@example.com,14.49,HR
TXN-100459,ACC-28289,user_22@example.com,31.62,HR
TXN-100460,ACC-81426,user_15@example.com,31.26,IT
TXN-100461,ACC-13278,user_14@example.com,261.89,HR
TXN-100462,ACC-10851,user_25@example.com,342.65,OPS
TXN-100463,ACC-13905,user_0@example.com,218.89,FIN
TXN-100464,ACC-65302,user_2@example.com,818.68,OPS
TXN-100465,ACC-46463,user_9@example.com,117.45,HR
TXN-100466,ACC-36062,user_7@example.com,84.12,MKT
TXN-100467,ACC-88907,user_12@example.com,507.38,FIN
TXN-100468,ACC-13905,user_22@example.com,63.27,FIN
TXN-100469,ACC-13905,user_7@example.com,825.72,IT
TXN-100470,ACC-24592,user_9@example.com,3.06,IT
